,L,R
0,z,A4
1,A3,C#5E5
2,G3D4,B4G5
3,z,C6
4,z,D5
5,F3,D4
6,D4,E5G5
7,z,B3
8,z,E5
9,z,z
10,z,F#5
11,z,B4
12,z,F#4
13,z,D6
14,A3,D5F#5
15,z,F#5
16,z,G4
17,z,G5
18,E3G3,E5A5
19,C3,C4E4
20,z,E5
21,z,G5
22,z,A4
23,z,D5
24,z,E4
25,z,B4
26,z,A4
27,z,D5
28,z,A4
29,z,F5
30,z,D5
31,z,D5
32,z,D5
33,D2,D4F#4A4D5
34,z,A4
35,z,A4
36,z,C5
37,z,D5
38,z,F#5
39,z,z
40,z,D5
41,B3,G4D5
42,z,A5
43,z,E5
44,z,C5
45,z,E5
46,z,A4
47,z,C5
48,z,B4
49,z,A5
50,F3,D4
51,z,A4
52,z,E4
53,D4,E5G5
54,z,F#4
55,z,G4
56,z,G5
57,z,A4
58,z,A4
59,z,C6
60,z,D5
61,z,A4
62,F3,F4
63,z,C5
64,z,C6
65,z,F#5
66,z,A4
67,z,B4
68,C3,C4
69,z,G4
70,z,G5
71,F3,D4
72,A3,D#5G5
73,A#2,A#4
74,z,z
75,z,A4
76,B3,G#5
77,z,F#4
78,z,D5
79,z,G4
80,z,z
81,z,A4
82,z,D5
83,z,z
84,z,C5
85,z,z
86,D3,D4A4
87,z,C5
88,z,F5
89,z,z
90,z,F#5A5
91,z,E4
92,z,G4
93,z,E5
94,D4,A#5
95,z,B4
96,z,D5
97,C3,C4
98,z,A4
99,z,E4G#4
100,z,B5
101,z,C6
102,z,C6
103,z,G4
104,A#2,A#3
105,z,F5
106,z,C5
107,z,E5G5C6
108,z,B4
109,A3,G#4
110,z,A5
111,C3E3G3,C4C5
112,F3,D4
113,z,E5
114,z,C5
115,F3,D4
116,z,F5
117,z,D5
118,z,B4
119,z,F5
120,z,D6
121,D4,A#5
122,F#2,F#5D6
123,C4,D#5
124,z,E5
125,F3,F4
126,z,B4
127,z,C5
128,z,A5
129,z,D5
130,z,G5
131,z,B5
132,z,B5
133,z,A4
134,z,F#4
135,z,D5
136,z,z
137,z,E5
138,F3,D4
139,F#2,F#5D6
140,z,F4A4
141,z,z
142,z,E4
143,F3,D4
144,A3,C#5
145,F3,D4
146,z,z
147,F3,D4
148,z,G4
149,C3,C4
150,A#2,A#3
151,z,z
152,z,E5
153,z,B4
154,F3,F4
155,z,D5
156,G3,D#4
157,F3,A5C6
158,z,C5
159,z,E4
160,z,B4
161,z,E5
162,z,z
163,z,E5
164,z,E5
165,z,G4
166,B2,D4F4
167,z,B4
168,z,C5
169,D2,F#4D5
170,A3,C#5
171,z,E5G5C6
172,A3,G#4
173,z,G4
174,z,G5
175,A3,B4D5
176,z,C5
177,z,z
178,z,B4
179,z,A4
180,z,A4
181,z,A5
182,z,B4
183,D4,A#5
184,D2,D3
185,F#3,D5B5
186,z,A5
187,F3,D4
188,z,D5
189,E2,E3C4
190,F3,D4
191,z,C6
192,z,A4
193,z,D5
194,C3C4,G4A#4E5
195,z,B4
196,z,C5
197,z,F5
198,z,F5
199,A2,D4F#4
200,z,z
201,C4D4,B4G#5
202,z,D5
203,z,A4
204,z,C6
205,z,A5
206,z,E5
207,z,B4
208,z,D5
209,z,F#5
210,z,G4
211,z,E5
212,z,G5
213,z,B3
214,z,C5
215,z,C5
216,C4D4,C5A5
217,F3,D4
218,z,A4
219,D3,G4B4
220,z,A4
221,z,C5
222,z,D6
223,C3,C4E4
224,z,G5
225,z,A5
226,A3,C#5
227,z,D5
228,z,G4
229,z,E5
230,A3,C#5
231,z,F#5
232,z,C5
233,z,C5
234,A#2,D4F4A#4
235,z,A4
236,z,F#5
237,F3,D4
238,A3,C#5E5
239,z,E5G5C6
240,z,G5
241,F3,F4
242,z,G4
243,z,A4
244,z,F#5
245,z,B5
246,z,C6
247,z,E4
248,z,E5
249,z,z
250,z,A4
251,G3,E6
252,z,z
253,z,z
254,z,C5
255,A#2,A#4
256,z,E4
257,z,A5
258,A3,D5F#5
259,A3,C#5
260,z,G4
261,z,A4
262,z,C6
263,z,B4
264,z,z
265,F3,F4
266,z,E5
267,z,G4
268,z,D5
269,z,C5
270,z,F#4
271,z,A4
272,z,A5
273,z,F5
274,z,z
275,z,D6
276,z,C5
277,z,z
278,z,F#4
279,z,G5
280,z,B5
281,z,G4
282,z,B3
283,C3,C4E4
284,z,D6
285,z,G4
286,z,z
287,z,E5
288,F3,D4
289,z,C5
290,z,z
291,A#2,A#4
292,A3,C#5A5
293,E3G3,C5E5
294,z,C5
295,C3,C4
296,z,D5
297,z,G5
298,D4,A#5
299,z,A5
300,A#2,A#4
301,C4,D#5
302,z,B5
303,z,C5
304,D4,E5G5
305,z,z
306,z,D3B3
307,z,z
308,z,E5
309,z,z
310,z,A4
311,F3,D4
312,z,z
313,z,F5
314,z,E5
315,z,G4
316,z,F5
317,z,E5
318,z,G4
319,z,z
320,D3,G4B4
321,z,E5
322,z,C5
323,z,G5
324,z,z
325,z,F5
326,z,G4
327,F3,F4
328,z,A5
329,z,z
330,z,A4
331,z,C5
332,z,F#4
333,z,B5
334,z,E4
335,z,C5
336,z,C5
337,z,z
338,z,F5
339,z,B5
340,z,A4
341,C3,C4
342,z,G5
343,z,A4
344,C4,D#5
345,z,A4
346,z,D5
347,z,F5
348,z,G4
349,z,B4
350,z,A5
351,A#2,A#4
352,E4,E4C5
353,z,A4
354,z,C5
355,E3G3,C5E5
356,z,z
357,F3,F4
358,z,G5
359,z,G4
360,D4,E5G5
361,z,F#5
362,z,z
363,z,E5
364,z,E5
365,z,E4
366,z,B5
367,z,F#4
368,C4,D#5
369,z,z
370,z,D5
371,z,E4
372,z,E5
373,A#2,A#3
374,z,D5
375,z,E5
376,z,F5
377,z,D5
378,z,z
379,z,E5
380,z,E5
381,z,A4
382,z,z
383,C4,D#5
384,z,A4
385,F3,D4
386,z,D5
387,z,G5
388,z,D5
389,F3,D4
390,z,z
391,z,G4
392,F3,F4
393,z,A5
394,z,B4
395,A3,C#5
396,z,A4
397,z,A5
398,A3,D5F#5
399,z,E4
400,z,G5
401,z,z
402,z,B4
403,z,D6
404,z,G4
405,z,D5
